現在のパス,所有Gitリポジトリ,現在Git追跡,分類案,Git管理方針案,配置・統合先案,処置案,行数,パス表記のある行,内容SHA256,確認の深さ,整理後のパス,実施処置,統合先・保持節,実施前分類,実施後分類,実施後SHA256
AGENTS.md,.,追跡済み,エージェントへの具体的な作業指示,Git継続,AGENTS.md,整理案3.1節に従い作業指示と正本への参照に絞る。共通手順はgovernance、SEP一時制約・来歴は計画・記録、端末固有値はローカル設定へ。旧指示を自動的に現行化しない,21,"9,15,17,21",1e7f85215718f1531ecf92183b470035f2a5250995651db814303f1d35b16182,全文の機械照合と表題・状態。個別意味の統合は未実施,AGENTS.md,整理案3.1全11項目を処置。具体的指示/相対参照を保持。共通手順はpolicy、適用中の条件はstatus、SEP一律禁止・実値・SHA/評価パスは既存SEP履歴,AGENTS.md; docs/governance/development-policy.md; docs/migration/status.md; docs/archive/environment-separation-sep1-brief.md,現行文書・案混在,現行文書,52f6b3ae9350cc59457406ad77d2a3f33c6875c7943a09526ccf59d8bf5f8a8f
README.md,.,追跡済み,基本方針の正本・プロジェクトの入口,Git継続,README.md,概要、ディレクトリー構成・文書管理の基本方針を所有。要件・設計・詳細手順の正本へリンク。AGENTSの指示や一時制約を抱え込まない,25,,8594cccc4e47c73ecc99baed713e2f732b0e6aeb2b3ae32c9406dc8c34f3325f,全文の機械照合と表題・状態。個別意味の統合は未実施,README.md,承認済み日本語ドラフトを意味を維持して英語正本へ。基本方針と構成、正本索引を所有,README.md,現行文書・案混在,現行文書,8ddc2a0d8a4dd8a22ac943d39b8b62d497a12a9de080f74a43d9a24a6b53a1fc
docs/environment-cleanup-coordination.md,.,追跡済み,引継ぎ・調整記録,Gitで現況と要点を保持,docs/migration/status.md + docs/archive/,現在の作業順序を一箇所へ。取消済み修復指示は現行扱いしない。長い履歴は再掲せず参照,693,"65,66,205,333,467,490,527",adaa741933aaafc2d690cb40f8e90e299118f76021cfae3e68421057d944a4ab,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-cleanup-coordination.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-cleanup-coordination.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,c1b87ab8b69a56c8cefc9363ff7569fd9c9279475918ba1624c42ec19d703366
docs/environment-separation-and-production-stability-plan.md,.,追跡済み,移行計画・進捗,Git継続,docs/migration/v2-plan.md + docs/migration/status.md,基盤→Provider→Skillへ計画を統合。現在状態と当時の評価を分離。日本語案の承認後に英語正本へ反映。SEPの一時制約と来歴を恒久的方針から分け、適用中の制約には対象・解除条件を記す,238,"5,63,105,149",d1e29fa157e80ec691735d921302a3dc883f48a1bfa7a26e0bd928e315ab80ce,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-separation-and-production-stability-plan.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-separation-and-production-stability-plan.md（全文保持、移動時はリンクを調整）,現行文書・案混在,履歴,731cc71c5377b3887fe1d1278b621e26866892e17b7e0cd9ba467e8e3cf9801f
docs/environment-separation-coordination.md,.,追跡済み,引継ぎ・調整記録,Gitで現況と要点を保持,docs/migration/status.md + docs/archive/,現在の作業順序を一箇所へ。取消済み修復指示は現行扱いしない。長い履歴は再掲せず参照,38,,9b4ffbcb15d710f70239bf11480f0f14c83ea17ee2fa1e0435fd4d394cd70422,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-separation-coordination.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-separation-coordination.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,90f7dd4516025527357449d05d399a1176d7a3d98c8dfd1e3925be551ea25a76
docs/environment-separation-sep0-checkpoint.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,101,95,bbc51694902ffa8e74b7e304c59ec4ccd6d93ade45426354121e9d9abcfd4ac1,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-separation-sep0-checkpoint.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-separation-sep0-checkpoint.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,e358c4dfc1da8c13c405f28c84d8a44293e9ca46dfb2321789d1e6c846d2e0f4
docs/environment-separation-sep1-brief.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定。SEPの一時制約と来歴を恒久的方針から分け、適用中の制約には対象・解除条件を記す,40,"7,11,29",fa30570dcb046ad9b8d9047920cf2ead29b485df19617c7c894b4bf8108ab7ff,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-separation-sep1-brief.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-separation-sep1-brief.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,5e65106fd4ca2e99c79b5fd41e80bc1e119fac1b59bb7ae3d925c1fbce77db01
docs/environment-separation-sep2-desktop-verification.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,61,"13,21,31,57",d25d076f0574a56e81badfcfa54fed9bfce3f0c1aa68de7cc3e492792478ef75,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-separation-sep2-desktop-verification.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-separation-sep2-desktop-verification.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,457eb65a8afd03061dc142911b1158479fe28a3cadba8bd145724cb630b0a791
docs/environment-separation-sep2-fresh-task-verification.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,116,,31059ad29e33c694dc71c322cf12b737c1ec3f5470c54209e16ffc69c1bf6ca6,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-separation-sep2-fresh-task-verification.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-separation-sep2-fresh-task-verification.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,091ef64c47731e2cd6b7e6a9b960ebf8855c30a0cca538dffdd338eb7b628417
docs/environment-separation-sep2-overlay-checkpoint.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,92,,eb949b84265aeed24c334be9941968dc666cc16a33a8d6e94fa65e90756ce8fd,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-separation-sep2-overlay-checkpoint.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-separation-sep2-overlay-checkpoint.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,e0c591039a9ba50b2d2ddc6b167c6ca934afe13cfbd64eadd2e7bce852c32cf2
